index,mention_count
normalized difference vegetation index,69
leaf area index,39
gross/net primary productivity,39
enhanced vegetation index,26
fraction of photosynthetically active radiation,17
vegetation continuous fields,13
plant area index,8
tree canopy cover,8
*soil moisture index,7
**human development index,6
***landscape indices,6
****disturbance index,6
dynamic habitat index,5
topographic wetness index,5
normalized water index,4
normalized difference snow index,4
terrain indices,4
palmer drought severity index,4
red list indices,4
topographic position index,4
*****simpson's index of diversity,4
abundance index,4
******shannon's diversity index,4
normalized burn ratio,4
bray curtis index,3
acoustic indices,3
larvae noaa index,2
tassel cap indices,2
jaccard index,2
heat load index,2
network centrality index,2
habitat suitability index,2
habitat quality indices,2
photochemical reflectance index,2
rao's q index,2
avian diversity indices,2
canopy leaf area index,2
anthocyanin indices,2
functional diversity index,2
dynamic range vegetation index,2
bird friendliness index,2
topographic indices,2
water quality indices,1
vegetation thermal stress index,1
visible atmospherically resistant index,1
vulnerability index,1
temperature condition index,1
vegetation condition index,1
rewilding index,1
renormalized difference vegetation index,1
water stress index,1
wetness and roughness indices,1
red edge ndvi,1
vegetation health index,1
species attractiveness index,1
sorensen's index,1
sustainable fisheries and aquaculture (sfa) indices,1
species habitat index,1
species protected index,1
species status information index,1
urbaness index,1
topographic solar radiation index,1
spectral heterogeneity indices,1
topographic convergence index,1
thermal indices,1
srtm continuous heat-insolation load index (chili),1
standardized precipitation index,1
temporal structural heterogeneity index,1
structural complexity index,1
temperature vulnerability index,1
synchrony index,1
net relatedness index,1
physical complexity index,1
deprivation index,1
fuel load index,1
front probability index,1
forest structural integrity index,1
forest integrity index,1
forest condition index,1
floating algae index,1
fisher's alpha diversity index,1
dynamic stress index,1
demographic vulnerability index,1
phylogenetic diversity index,1
conservation success index,1
chlorophyll index red edge,1
chlorophyll carotenoid index,1
boyce index,1
blade area index,1
biodiversity intactness index,1
anln (anthropogenic nightlight and noise) risk indices,1
aerosol index,1
functional richness index,1
genetic vulnerability index,1
gini index,1
global development potential indices,1
pacific decadal oscillation pdo index,1
orographic uplift index,1
normalized wilt index,1
normalized difference infrared index,1
nearest taxon index,1
nasa sedac cropland expansion development potential index,1
nasa nature index,1
multivariate enso index,1
mortality magnitude index,1
moment distance indices,1
living planet index,1
lacunarity indices,1
healthy coastal ecosystems (hce) indices,1
habitat reachability indices,1
guild richness indices,1
green chlorophyll vegetation index,1
global ecosystem restoration index,1
wetness ruggedness dem index,1